Symbol,Date,Open,High,Low,Close,Volume
AGTL,28-Sep-2015,431.00,434.00,421.00,425.09,3200
AGTL,29-Sep-2015,422.00,424.00,422.00,424.00,200
AGTL,30-Sep-2015,434.99,434.99,422.00,422.86,4100
AGTL,01-Oct-2015,425.00,425.00,410.05,413.23,2000
AGTL,02-Oct-2015,410.01,420.00,392.60,413.75,13200
AGTL,05-Oct-2015,420.00,434.43,415.00,434.43,10300
AGTL,06-Oct-2015,441.01,455.00,441.01,453.73,5400
AGTL,07-Oct-2015,450.01,460.00,446.00,455.14,9000
AGTL,08-Oct-2015,450.00,460.00,450.00,457.00,1800
AGTL,09-Oct-2015,460.10,460.10,452.00,454.47,1600
AGTL,12-Oct-2015,458.99,477.19,458.99,477.13,30700
AGTL,13-Oct-2015,479.00,496.00,465.00,467.00,9300
AGTL,15-Oct-2015,460.01,470.00,460.01,463.00,10200
AGTL,16-Oct-2015,451.00,460.10,446.00,451.49,8100
AGTL,19-Oct-2015,459.00,459.00,448.00,448.42,2800
AGTL,20-Oct-2015,450.00,450.00,445.00,445.00,900
AGTL,21-Oct-2015,449.99,449.99,437.00,440.00,2000
AGTL,22-Oct-2015,441.00,462.00,441.00,456.83,6300
AGTL,26-Oct-2015,464.90,479.67,464.90,479.67,12000
AGTL,27-Oct-2015,497.84,503.65,487.00,503.65,30200
AGTL,28-Oct-2015,527.48,528.83,504.00,505.07,58500
AGTL,29-Oct-2015,500.50,510.00,492.00,495.71,21000
AGTL,30-Oct-2015,491.00,500.00,491.00,498.34,37900
AGTL,02-Nov-2015,502.00,502.00,498.00,499.24,7200
AGTL,03-Nov-2015,499.00,499.99,496.00,497.00,4800
AGTL,04-Nov-2015,495.29,498.98,492.00,498.24,10200
AGTL,05-Nov-2015,497.00,500.10,496.99,498.74,6200
AGTL,06-Nov-2015,500.00,500.00,493.25,497.16,3200
AGTL,09-Nov-2015,500.10,504.00,498.60,501.93,7400
AGTL,10-Nov-2015,509.00,509.00,498.00,499.59,11800
AGTL,11-Nov-2015,498.10,499.00,495.00,498.20,5500
AGTL,12-Nov-2015,499.50,502.00,498.00,500.00,21200
AGTL,13-Nov-2015,500.00,500.00,478.00,499.99,12500
AGTL,16-Nov-2015,490.01,499.99,490.01,498.00,4000
AGTL,17-Nov-2015,500.00,500.00,495.50,496.27,12300
AGTL,18-Nov-2015,493.00,496.50,491.00,491.07,18300
AGTL,19-Nov-2015,494.00,494.00,488.50,488.58,14500
AGTL,20-Nov-2015,494.00,497.00,491.80,492.66,13800
AGTL,23-Nov-2015,495.00,517.00,468.03,497.27,53400
AGTL,24-Nov-2015,499.00,499.00,477.00,493.06,41100
AGTL,25-Nov-2015,455.60,458.99,447.50,449.17,7000
AGTL,26-Nov-2015,447.00,453.00,440.00,440.48,2300
AGTL,27-Nov-2015,432.00,438.00,427.25,431.30,3700
AGTL,30-Nov-2015,418.10,422.90,410.00,413.14,15700
AGTL,01-Dec-2015,415.00,429.00,414.00,415.25,3200
AGTL,02-Dec-2015,406.01,418.99,406.00,418.99,2600
AGTL,03-Dec-2015,422.75,430.00,421.25,429.97,7300
AGTL,04-Dec-2015,430.00,437.25,425.25,428.63,1100
AGTL,07-Dec-2015,434.00,438.00,434.00,435.42,2800
AGTL,08-Dec-2015,443.99,443.99,427.00,429.25,1100
AGTL,09-Dec-2015,420.00,431.00,420.00,431.00,800
AGTL,10-Dec-2015,424.00,430.00,409.45,411.21,18100
AGTL,11-Dec-2015,415.01,420.00,391.00,413.70,16000
AGTL,14-Dec-2015,408.01,415.00,408.00,410.25,1200
AGTL,15-Dec-2015,416.99,428.00,411.55,419.44,8300
AGTL,16-Dec-2015,419.00,426.00,418.00,418.00,8000
AGTL,17-Dec-2015,420.00,424.98,417.00,417.00,2800
AGTL,18-Dec-2015,410.00,419.99,410.00,414.87,2900
AGTL,21-Dec-2015,408.10,415.00,408.00,408.43,14100
AGTL,22-Dec-2015,403.25,413.50,403.25,412.65,1300
AGTL,23-Dec-2015,410.01,412.75,409.00,409.00,1900
AGTL,28-Dec-2015,412.88,417.99,412.88,414.20,4900
AGTL,29-Dec-2015,419.50,419.50,410.00,410.40,2700
AGTL,30-Dec-2015,410.00,410.70,410.00,410.25,800
AGTL,31-Dec-2015,414.00,414.00,413.00,413.00,1300
AGTL,01-Jan-2016,417.90,418.90,413.01,413.01,1000
AGTL,04-Jan-2016,418.99,419.99,417.00,419.99,1400
AGTL,05-Jan-2016,416.00,416.00,412.01,415.00,2500
AGTL,06-Jan-2016,429.80,429.80,421.50,422.68,3300
AGTL,07-Jan-2016,424.90,426.00,424.90,425.10,2300
AGTL,08-Jan-2016,420.00,427.85,420.00,424.00,3200
AGTL,11-Jan-2016,420.00,420.00,414.00,414.00,2600
AGTL,12-Jan-2016,412.00,415.00,410.00,413.10,3400
AGTL,13-Jan-2016,410.01,418.90,410.01,414.02,5900
AGTL,14-Jan-2016,411.00,411.00,395.00,402.25,5800
AGTL,15-Jan-2016,405.50,405.50,395.01,395.05,3300
AGTL,18-Jan-2016,382.01,397.50,382.01,383.23,9300
AGTL,19-Jan-2016,385.00,394.00,384.00,386.12,7300
AGTL,20-Jan-2016,385.50,390.00,385.50,386.00,1900
AGTL,21-Jan-2016,387.00,388.00,385.00,388.00,2100
AGTL,22-Jan-2016,387.00,387.90,378.10,386.30,700
AGTL,25-Jan-2016,383.15,386.00,383.00,384.50,700
AGTL,26-Jan-2016,385.00,385.00,377.15,378.08,3800
AGTL,27-Jan-2016,381.00,381.00,380.00,380.00,400
AGTL,28-Jan-2016,389.45,389.45,380.01,382.00,1500
AGTL,29-Jan-2016,389.00,392.00,377.00,380.97,16900
AGTL,01-Feb-2016,386.85,388.00,379.00,379.90,6800
AGTL,02-Feb-2016,380.10,382.00,379.30,381.02,8600
AGTL,03-Feb-2016,382.50,387.00,381.16,386.96,1300
AGTL,04-Feb-2016,386.00,390.00,385.50,387.00,1900
AGTL,08-Feb-2016,390.01,405.85,390.01,404.71,15600
